Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ
Dion Osmani,FDP,No,No,Yes,Yes,No,Yes,Rather yes,No,Rather no,Yes,7,Yes,Rather yes,Rather no,Rather yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Rather no,Yes,No,No,Yes,Yes,No,No,No,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,Yes,4,3,3,29.5,0.5
Timon Günthard,FDP,Rather no,Rather yes,No,Rather no,Rather no,Yes,Yes,Rather yes,Rather yes,Rather yes,7,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather no,No,Rather no,No,Rather yes,Rather no,No,Rather yes,Yes,Yes,Rather yes,Rather no,No,Rather no,Rather no,Yes,Rather yes,No,Rather yes,Yes,Rather no,Rather no,Rather no,Rather yes,No,Rather no,Rather no,Rather yes,Rather yes,Yes,2,2,3,23.0,-8.5
Ruedi Brem,FDP,Rather no,Rather no,Rather no,Yes,No,Yes,Yes,Rather no,Rather yes,Rather no,5,Rather yes,Rather no,Rather no,Yes,No,Yes,Rather no,No,Rather no,Yes,Yes,Rather no,Rather yes,Rather no,No,Rather yes,Rather yes,Rather yes,No,No,No,Rather no,Yes,Rather no,Rather no,Yes,Yes,Rather no,Rather yes,Rather no,Yes,No,No,Rather yes,Rather yes,Rather yes,Rather no,4,4,3,7.0,-10.5
Andrew Karim,FDP,No,Yes,Rather no,Rather yes,No,Yes,Rather yes,Rather no,Rather yes,Rather no,7,Rather yes,No,Yes,Rather no,Rather yes,Rather no,Rather yes,No,No,Rather no,Rather no,Yes,Rather no,Rather no,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather no,No,Rather no,Rather yes,Rather no,No,Rather no,Rather yes,No,Rather no,Rather yes,Rather yes,Rather no,Rather yes,3,5,3,34.5,-1.0
Roman Debrunner,FDP,No,Yes,No,Yes,No,Rather yes,Rather yes,Yes,Yes,No,7,Yes,Yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,No,No,No,No,Rather no,Rather no,No,Rather no,Rather yes,Rather yes,Yes,No,Rather no,Yes,Rather yes,Rather yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Rather yes,2,4,3,25.5,0.5
Philipp Wegmann,FDP,No,Yes,No,No,No,Yes,Yes,No,Rather no,Rather no,6,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,Rather yes,Rather no,No,No,Yes,Yes,Rather yes,No,No,Yes,No,Rather yes,No,Rather no,No,Rather yes,Rather no,No,Rather no,Yes,No,Rather no,Yes,Rather yes,Rather yes,Yes,3,2,2,27.0,-5.0
Frank Ihringer,FDP,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Rather no,5,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather no,Rather no,Rather no,Yes,Yes,Yes,Rather no,No,Rather yes,No,Rather yes,Rather no,Rather yes,Rather yes,Rather no,No,Rather no,Rather yes,Yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather no,1,4,5,8.5,-14.0
Marcel Betschart,FDP,Rather yes,Yes,No,Rather no,Rather no,Yes,Yes,Yes,Yes,No,7,Yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Rather no,Rather no,No,No,Yes,No,No,No,Yes,Yes,Yes,Rather no,No,Rather yes,No,Yes,Rather no,No,Yes,Rather yes,No,No,No,Yes,No,No,Yes,Yes,Rather yes,Yes,1,5,3,31.5,1.0
Kurt Stebler,FDP,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather no,6,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather no,Rather no,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,2,5,3,14.5,0.0
Reto Gattiker,FDP,Rather no,Yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,6,Rather no,Rather yes,Rather no,Rather yes,No,Rather yes,No,No,No,No,No,No,Rather yes,Rather no,Yes,Rather yes,Rather yes,Yes,No,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,2,3,3,10.5,-3.0
Sabine Ihringer,FDP,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Rather yes,7,Yes,Rather no,No,Yes,No,Rather no,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Rather no,No,Yes,Rather no,Yes,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather no,No,Yes,No,No,Rather no,Rather yes,Yes,No,2,4,5,14.5,-8.0
Philipp Langerweger,FDP,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Yes,7,Rather yes,Yes,Rather no,Yes,Rather yes,Rather no,Rather yes,Rather no,No,No,No,Yes,Rather no,Rather no,Yes,Rather yes,Yes,Rather no,No,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Rather no,Rather yes,5,3,4,15.0,1.5
Roger Rüegg,FDP,No,Rather no,Rather no,Yes,No,Yes,Yes,Rather yes,Rather no,Rather no,6,Rather yes,No,Yes,Yes,No,Yes,Rather no,Rather no,Rather yes,Rather no,Rather no,Yes,Rather no,No,No,Rather yes,Yes,Rather yes,No,No,Yes,No,Yes,Rather yes,No,Rather yes,Yes,No,No,Rather no,Yes,No,Rather no,Rather yes,Rather yes,Rather no,Rather yes,3,4,2,24.5,-6.5
David Gurtner,FDP,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,6,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,3,1,2,-4.0,-24.0
Flavio Greco,FDP,Rather no,Yes,No,Rather yes,Rather yes,Yes,Yes,No,Rather no,No,6,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Yes,No,Rather no,Yes,No,No,No,Rather no,Rather yes,Yes,Yes,Rather no,No,Yes,No,Yes,Rather no,No,Rather yes,Yes,Rather no,Rather no,No,Yes,No,Rather yes,Yes,Yes,Yes,Yes,5,5,3,25.0,-0.5
Barbara Gölz,FDP,Rather no,Rather yes,No,Rather no,No,Yes,Yes,Rather yes,Rather yes,Rather no,6,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather no,No,No,Rather yes,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Rather yes,No,Yes,Rather no,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,No,No,Yes,No,No,Yes,Yes,Rather no,Rather yes,3,5,4,26.0,-1.0
Evelyn Meier-Eichenberger,FDP,No,Rather no,No,Yes,Rather no,Rather yes,Yes,Rather yes,Rather no,No,5,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather yes,No,No,No,No,Rather no,Rather no,Rather yes,Yes,Yes,Yes,Rather no,Rather yes,Yes,No,Yes,Rather yes,No,No,Yes,No,Rather no,No,No,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,2,5,2,18.0,-0.5
Samuel Inauen,FDP,Rather no,Yes,Rather no,Rather yes,Yes,Yes,Rather no,Yes,Rather no,No,5,Yes,Yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,No,No,No,Rather yes,No,Rather no,Yes,Yes,Yes,Rather yes,No,No,Rather yes,Rather no,Yes,Rather no,No,Yes,Rather yes,Rather yes,No,Rather no,Yes,No,No,Yes,Yes,Yes,Rather yes,1,7,3,26.5,11.0
Martin Kleiner,FDP,No,Yes,Rather no,Rather yes,Rather no,Yes,Yes,Rather no,No,Rather no,6,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,Rather no,No,Yes,Yes,No,Rather no,Yes,Rather no,Yes,Rather yes,No,No,Yes,No,Yes,No,No,Rather yes,Yes,No,No,Rather yes,No,No,No,Yes,Rather no,Yes,Yes,1,4,4,25.0,5.0
Christian Hartmann,SVP,No,Yes,Rather yes,Yes,No,Rather yes,Rather no,No,Rather no,Rather yes,6,Rather yes,Rather yes,Rather no,Yes,Yes,No,Yes,Rather yes,No,No,Rather yes,Rather yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,Rather no,No,Rather no,Rather no,Rather yes,Yes,Rather yes,Rather yes,2,2,2,21.0,4.0
Marco Graf,SVP,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather no,Yes,7,Yes,Rather yes,Rather no,Yes,Yes,Rather no,Yes,Yes,Rather no,No,No,Yes,Rather no,No,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,No,Yes,Rather yes,No,Rather no,Yes,Rather no,No,Rather no,Rather no,No,Rather yes,Yes,Yes,Yes,Yes,3,5,4,26.0,6.0
Tim Kramer,SVP,Rather no,Yes,Rather yes,Rather no,Yes,Rather yes,Yes,No,No,No,7,Rather yes,No,Rather yes,Yes,Yes,Rather no,Yes,No,No,No,Yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,No,No,Yes,Rather no,Rather no,Yes,No,No,Rather yes,Rather no,Rather no,Rather yes,Rather no,No,Rather yes,Rather yes,Yes,Rather yes,Yes,1,4,4,28.5,7.5
Michael Gross,SVP,Rather no,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,No,No,Rather yes,7,Yes,Rather yes,Rather yes,Yes,Yes,Rather no,Rather yes,No,No,No,Rather no,Rather yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,No,Yes,No,Rather yes,Rather yes,Yes,Rather yes,Yes,3,4,2,30.5,2.5
Stefan Gubler,SVP,No,Yes,Yes,Rather yes,No,Yes,Rather yes,No,No,No,7,Rather yes,Rather yes,Rather no,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Rather no,No,Yes,Rather yes,Yes,Yes,No,Rather no,Yes,No,Yes,Yes,No,Rather yes,Yes,No,No,No,Rather no,No,Rather yes,Yes,Yes,Rather no,Rather yes,1,7,1,43.5,11.0
Philipp Angele,SVP,No,Yes,Yes,Rather no,Rather no,Rather no,No,No,No,No,5,Yes,Rather no,Rather no,Yes,Yes,No,Yes,No,No,No,No,Rather yes,No,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,No,Yes,No,Rather no,Yes,Rather no,Rather yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,4,5,3,31.5,20.5
Marc Wäckerlin,SVP,No,Yes,No,Rather no,No,Yes,Yes,Rather no,No,Yes,7,Yes,No,Yes,Rather no,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Rather yes,No,Rather yes,1,4,1,42.5,-3.0
Jan Ehrbar,SVP,No,Yes,Yes,Rather yes,No,Rather yes,No,No,No,Rather yes,6,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Rather yes,Yes,Yes,No,No,Yes,No,Rather yes,Yes,Rather no,Yes,Yes,No,No,No,Rather no,No,Yes,Yes,Yes,Rather no,Yes,2,6,2,41.0,14.5
Christian Della Sega,SVP,Rather yes,No,Rather yes,Rather yes,No,Yes,Rather yes,No,Rather no,No,7,Yes,Rather yes,Rather yes,Yes,Yes,No,Yes,Rather yes,No,No,No,Rather yes,No,No,Rather yes,Yes,Yes,Rather yes,Rather yes,No,Yes,No,Yes,Rather yes,No,Rather yes,Yes,Rather yes,No,No,Rather yes,No,Yes,Yes,Yes,Yes,Yes,1,6,2,36.5,6.0
Manuel Zanoni,SVP,No,Yes,Yes,Yes,No,Rather yes,Rather no,No,No,Yes,7,Yes,Rather no,Rather yes,Yes,Yes,No,Yes,Rather no,No,No,No,No,No,No,Yes,Rather yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,No,No,Rather no,Rather no,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,4,4,2,33.0,6.0
Claudio Kuhn,SVP,No,Rather yes,Yes,Yes,No,Rather yes,Yes,Rather yes,Rather yes,Rather no,6,Yes,Rather yes,Yes,Rather yes,Yes,No,Rather yes,Rather no,No,Rather no,No,Yes,Rather no,Rather no,Rather no,Yes,Yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather no,Rather yes,2,4,2,27.0,2.5
Alexander Lier,SVP,No,Yes,Yes,Yes,No,Rather no,Rather yes,No,No,No,7,Yes,Rather no,Rather no,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Rather yes,Yes,No,Rather no,Rather no,No,Rather yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Rather no,Yes,1,6,1,41.5,13.0
Romeo Parison,SVP,No,Yes,Rather no,Rather yes,No,Rather yes,Rather yes,Yes,Rather no,Rather no,5,Yes,Rather yes,Rather yes,Yes,Yes,Rather no,Yes,Rather no,No,No,No,Rather yes,Rather no,No,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,No,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,5,5,6,16.0,7.0
Kristian Miljkovic,SVP,No,Yes,Yes,Rather yes,No,Rather yes,Rather no,No,No,Rather yes,6,Yes,Rather no,Rather yes,Yes,Yes,No,Yes,Rather yes,No,No,No,Yes,Rather no,No,No,Rather no,Yes,Yes,No,Rather no,Yes,No,Rather yes,Yes,No,Yes,Yes,Rather yes,No,No,Rather no,No,Yes,Rather yes,Yes,Yes,Yes,3,7,1,35.0,12.5
Natascha Graf,SVP,Rather no,Yes,Yes,No,Yes,Yes,Rather yes,Rather yes,No,No,7,Yes,Rather yes,Rather no,Rather yes,Yes,No,Yes,No,No,No,Rather no,Yes,Rather no,No,Yes,Yes,Rather yes,Rather yes,No,No,Rather no,Rather yes,Yes,Yes,No,Yes,Yes,No,Rather no,Rather yes,No,No,No,Yes,Yes,Yes,Yes,1,7,6,31.0,14.0
Ivan Jabbour,SVP,Rather no,Yes,Rather no,Rather yes,No,Rather yes,Rather yes,Yes,No,Yes,5,Yes,Rather yes,Yes,Yes,Yes,No,Yes,Rather no,No,No,No,Yes,No,No,Yes,Rather yes,Yes,Rather yes,No,No,Rather yes,Rather yes,Rather no,Yes,No,Rather yes,Rather yes,No,No,Yes,No,No,Rather yes,Yes,Yes,Rather yes,Yes,2,4,4,25.0,9.5
Simon Füchslin,SVP,No,Yes,Rather no,Yes,Rather no,Rather no,Rather yes,No,Rather no,Yes,7,Yes,Rather yes,Rather yes,Yes,Yes,Rather no,Yes,Rather no,No,No,No,Rather yes,Rather no,No,Yes,Rather yes,Yes,Yes,No,No,Yes,Rather no,Rather no,Rather no,No,No,Yes,No,No,No,No,No,Rather yes,Rather yes,Rather yes,Rather no,Yes,2,6,1,33.0,8.5
Stefan Müller,SVP,Rather yes,Yes,Yes,Rather yes,Rather no,Rather yes,No,No,No,Yes,7,Yes,No,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,Rather yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,No,Yes,Yes,No,No,Rather no,No,No,Yes,Yes,Yes,Rather no,Yes,2,5,4,37.0,10.0
Silvio Wittwer,SVP,Rather no,Yes,Yes,Yes,Rather no,Yes,Rather yes,Yes,No,No,7,Yes,Rather yes,Rather yes,Yes,Yes,No,Yes,Rather no,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Rather yes,Yes,Rather no,No,Rather yes,Yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Yes,5,6,4,32.0,10.5
Lukas Grunder,SVP,No,Yes,Yes,No,No,Rather yes,No,No,No,Yes,7,Yes,Rather no,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,No,Yes,Rather yes,No,No,Yes,No,No,Yes,Yes,Yes,Rather yes,Yes,1,7,1,43.5,11.5
Sabrina Drosg,SVP,Rather yes,Yes,Yes,Rather no,No,Yes,No,No,Rather no,No,7,Yes,Rather yes,Rather yes,Rather yes,Yes,No,Yes,Rather yes,No,No,Yes,Rather no,Rather no,No,Yes,Rather yes,Yes,Yes,No,Rather no,Yes,Rather no,Rather yes,Yes,No,Yes,Yes,Rather no,Rather yes,Rather yes,Rather no,No,Rather yes,Yes,Yes,Rather yes,Yes,5,7,1,31.5,10.0
Momir Paunovic,SVP,No,Yes,Yes,Yes,No,Yes,No,Rather yes,Rather yes,Yes,4,Rather yes,Rather yes,Rather yes,Yes,Yes,No,Yes,Rather yes,No,No,No,Yes,No,No,Rather no,Yes,Yes,Yes,No,Rather yes,Yes,Rather yes,Rather yes,Yes,No,Yes,Rather yes,Rather no,No,No,No,No,Yes,Yes,Yes,Yes,Rather yes,4,4,4,20.5,8.0
David Siegwart,SVP,No,Rather yes,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,No,Yes,6,Yes,Rather yes,Rather no,Rather yes,Yes,No,Yes,Rather no,No,No,No,Yes,No,No,Yes,Yes,Yes,Rather yes,No,Rather no,Yes,Rather no,Yes,Rather yes,No,Rather no,Yes,No,Rather no,No,Rather no,Rather no,Rather no,Yes,Yes,Yes,Yes,2,3,1,32.5,5.5
Marcel Ochsner,SVP,Rather no,Yes,No,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,7,Yes,Yes,No,Yes,Yes,Rather no,Rather yes,Rather yes,No,No,Rather no,Rather yes,Rather no,No,Rather no,Rather no,Yes,Rather no,Rather yes,Rather no,Yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,No,Rather no,Yes,Rather yes,Rather yes,Yes,2,5,2,20.5,6.0
Yvonne Rudin,SVP,No,Yes,Yes,Rather yes,No,Rather yes,Yes,No,Rather no,No,7,Yes,Rather yes,Yes,Yes,Yes,No,Yes,Rather no,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Rather yes,Yes,No,Rather no,Yes,Rather yes,Rather yes,No,No,No,Yes,Yes,Yes,Rather no,Yes,2,6,1,42.0,10.5
Stefan Todorov,SVP,No,No,Rather yes,Rather no,Yes,No,Yes,Yes,Rather yes,Yes,4,Rather yes,Rather no,Rather no,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,Yes,Rather no,Rather yes,2,2,5,20.5,1.0
Gian Kuster,SVP,No,Yes,Yes,Rather yes,No,Rather yes,Rather yes,No,Rather no,Rather yes,6,Yes,Rather yes,Rather no,Yes,Yes,No,Yes,Rather no,No,No,No,Rather yes,Rather no,No,Yes,Yes,Yes,Yes,No,Rather no,Rather no,No,Rather yes,Yes,No,Rather yes,Yes,No,Rather no,No,Rather yes,No,Yes,Yes,Yes,Yes,Rather yes,1,5,2,36.5,8.0
Marcel Ritter,SVP,Rather no,Yes,Rather yes,Rather no,Rather no,Rather yes,Yes,No,Rather no,No,6,Yes,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,No,No,No,Yes,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Rather no,Rather yes,No,Yes,Yes,Yes,Yes,Yes,3,3,2,29.0,1.0
Andreas Szummer,SVP,Rather no,Yes,Yes,Rather yes,No,Rather yes,Rather no,No,No,No,2,Yes,Rather yes,Rather no,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Rather no,No,Yes,Rather yes,Yes,Yes,Rather no,No,Rather yes,No,Yes,Rather yes,No,No,Yes,Yes,No,Rather no,No,No,Rather yes,Rather yes,Yes,Rather yes,Yes,1,7,1,31.0,16.5
René Isler,SVP,Rather no,Yes,Yes,No,No,Yes,No,No,No,No,7,Yes,Yes,Yes,Yes,Yes,No,Rather yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Rather yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,1,7,1,42.5,11.0
Stefan Cajic,SVP,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,7,Rather yes,Rather no,Yes,Yes,Yes,No,Yes,Rather no,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Rather no,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Rather yes,Yes,1,7,2,41.5,4.0
Bruno Bischof,SVP,Rather no,Yes,Yes,Rather yes,Rather no,Rather no,Rather yes,No,Rather yes,Yes,5,No,Rather yes,Rather yes,Yes,Yes,No,Rather yes,Rather yes,No,No,No,Rather yes,Rather no,Rather no,Yes,Yes,Rather yes,Rather no,Rather no,Rather yes,Yes,No,Rather yes,Yes,Rather no,Rather no,Rather no,No,No,Rather no,No,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,2,4,2,19.5,5.0
Susanna Lisibach,SVP,No,Yes,Rather yes,No,Rather no,Yes,Yes,No,Rather no,Rather no,6,Yes,Rather yes,Rather yes,Yes,Yes,Rather no,Yes,Rather yes,No,No,Rather no,Yes,Rather no,No,Yes,Rather yes,Yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,No,Rather yes,Yes,Yes,Rather yes,Yes,3,5,4,29.0,9.0
Marcel Trieb,SVP,No,Rather no,Rather yes,Yes,Rather no,Rather yes,Rather yes,Yes,No,Rather no,5,Yes,Rather yes,Rather yes,Rather yes,Yes,No,Rather yes,Rather no,No,No,No,Rather yes,Rather no,No,Yes,Yes,Yes,Yes,No,Rather no,No,No,Yes,Rather yes,No,Yes,Yes,Rather no,No,Rather no,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Yes,3,4,2,30.5,6.0
Marcello Fontana,SVP,No,Yes,Yes,No,No,Rather yes,Rather yes,No,Rather no,Yes,7,Rather yes,Rather yes,Rather no,Yes,Yes,No,Yes,Rather yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Rather no,No,Rather yes,No,Yes,Yes,Rather no,Rather no,Yes,Rather yes,No,No,No,No,Yes,No,Rather no,Rather no,No,5,3,2,26.0,-0.5
Christoph Lisibach,SVP,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,No,4,Yes,Rather no,Rather no,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,No,Yes,Rather no,No,Yes,Rather yes,Rather yes,Yes,Rather yes,No,Rather yes,Rather no,Yes,Rather no,No,Yes,Yes,Rather yes,No,Rather yes,Rather yes,No,No,Yes,Yes,Rather no,Rather yes,4,6,3,26.0,11.0
Diego Sagarra,SVP,No,Yes,Yes,Yes,No,Yes,No,No,No,Rather yes,6,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,2,5,2,43.5,12.5
Martin Nussbaumer,SVP,No,Yes,Yes,No,Rather yes,Rather no,Yes,No,No,Rather yes,7,Yes,No,Yes,Rather no,Yes,No,Rather yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,1,7,1,50.5,14.0
Markus Streuli,SVP,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,7,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,7,7,7,16.0,7.0
Bernd Bleistein,SVP,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,5,Yes,Rather yes,Yes,Rather no,Yes,No,No,Rather yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,1,7,1,38.5,3.5
Radenko Grujic,SVP,No,Yes,No,Yes,No,Yes,Yes,No,No,Rather yes,7,Rather yes,No,Rather no,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Rather no,No,Yes,No,Yes,Yes,No,No,Yes,Rather no,Rather yes,Yes,No,Yes,Yes,No,No,Rather yes,No,No,Yes,Yes,Yes,No,Rather no,3,4,3,31.0,6.5
Josef Lisibach,SVP,No,Yes,Yes,No,No,Yes,Yes,No,No,Rather no,7,Yes,Rather no,Yes,Yes,Yes,No,Yes,Rather no,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Rather yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Rather yes,Rather no,Yes,Rather no,Yes,1,6,2,47.5,6.5
